metric,unit,n,mean,sample_stdev,ci95_low,ci95_high
prefill_tps,token/s,5,150.74717958756165,3.530661844774398,147.65713612651655,153.26935906590643
decode_tps,token/s,5,24.90980647813788,0.5826640453508531,24.539157979639015,25.434812825534785
ttft_ms,ms,5,6941.841184993973,163.93993006055373,6825.0567821844015,7063.549312605755
tpot_ms,ms/token,5,40.162021973293164,0.9186903807323111,39.33639589517155,40.75126693422132
e2e_ms,ms,5,30998.958038794808,676.5875375645367,30408.838273596484,31452.373866800917
first_cpu_delay_calls,calls,5,7.6,1.140175425099138,6.6,8.4
first_cpu_delay_ms,ms,5,399.7159074,63.553644111042495,350.2857962,451.48048500000004
settle_cpu_delay_calls,calls,5,39.6,1.140175425099138,38.8,40.4
settle_cpu_delay_ms,ms,5,1504.4196102,67.28612080216249,1454.0068774,1558.6165566
high_load_igpu_calls_per_s,calls/s,5,17.794370949059065,1.3060761565759125,16.931755675580387,18.950634530930166
low_load_cpu_calls_per_s,calls/s,5,29.01635679971026,0.055958341293019166,28.965813919746402,29.05390147547222
segment_speedup,x,5,1.6373425796466794,0.11426516392383142,1.5383201061109835,1.715737813152007
