layer,prefill_calls,prefill_igpu_ratio,prefill_policy_igpu_ratio,decode_events,decode_calls,decode_igpu_ratio,decode_policy_igpu_ratio,decode_cpu_load,exploration_calls,load_drop_reprobe_calls,periodic_reprobe_calls,switch_delta,final_cpu_ms_per_row,final_igpu_ms_per_row,final_cpu_load,final_igpu_ratio,final_policy_igpu_ratio
0,2,0.0,0.0,300,300,1.0,1.0,0.8061274335781733,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
1,1,0.0,0.0,300,300,1.0,1.0,0.8060784573356311,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
2,1,0.0,0.0,300,300,1.0,1.0,0.8060288938879967,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
3,1,0.0,0.0,300,300,1.0,1.0,0.806140746474266,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
4,1,0.0,0.0,300,300,1.0,1.0,0.8061110966404279,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
5,1,0.0,0.0,300,300,1.0,1.0,0.8061556052168211,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
6,1,0.0,0.0,300,300,1.0,1.0,0.8062450747688611,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
7,1,0.0,0.0,300,300,1.0,1.0,0.8063923132419586,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
8,1,0.0,0.0,300,300,1.0,1.0,0.8065120061238606,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
9,1,0.0,0.0,300,300,1.0,1.0,0.8064602166414261,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
10,1,0.0,0.0,300,300,1.0,1.0,0.8064672118425369,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
11,1,0.0,0.0,300,300,1.0,1.0,0.8065228782097499,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
12,1,0.0,0.0,300,300,1.0,1.0,0.8065028821428617,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
13,1,0.0,0.0,300,300,1.0,1.0,0.8067578079303106,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
14,1,0.0,0.0,300,300,1.0,1.0,0.8067267763614655,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
15,1,0.0,0.0,300,300,1.0,1.0,0.8067501471439997,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
16,1,0.0,0.0,300,300,1.0,1.0,0.8069673032561938,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
17,1,0.0,0.0,300,300,1.0,1.0,0.8071642548839251,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
18,1,0.0,0.0,300,300,1.0,1.0,0.8071004303296407,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
19,1,0.0,0.0,300,300,1.0,1.0,0.807100248436133,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
20,1,0.0,0.0,300,300,1.0,1.0,0.8070627986391385,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
21,1,0.0,0.0,300,300,1.0,1.0,0.8069967316587766,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
22,1,0.0,0.0,300,300,1.0,1.0,0.8073971540729205,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
23,1,0.0,0.0,300,300,1.0,1.0,0.8073862218856811,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
24,1,0.0,0.0,300,300,1.0,1.0,0.8072428876161575,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
25,1,0.0,0.0,300,300,1.0,1.0,0.8067900079488755,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
26,1,0.0,0.0,300,300,1.0,1.0,0.8065020616849263,0,0,0,0,1.290024995803833,0.09344921261072159,0.7953742146492004,1.0,1.0
27,1,0.0,0.0,300,300,1.0,1.0,0.8064153776566187,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
28,1,0.0,0.0,300,300,1.0,1.0,0.8063781887292862,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
29,1,0.0,0.0,300,300,1.0,1.0,0.8064224747816722,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
30,1,0.0,0.0,300,300,1.0,1.0,0.8066445312897365,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
31,1,0.0,0.0,300,300,1.0,1.0,0.80666985809803,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
32,1,0.0,0.0,300,300,1.0,1.0,0.8066593660910925,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
33,1,0.0,0.0,300,300,1.0,1.0,0.806672890484333,0,0,0,0,1.290024995803833,0.09365902841091156,0.7953742146492004,1.0,1.0
34,1,0.0,0.0,300,300,1.0,1.0,0.8067823124925295,0,0,0,0,1.290024995803833,0.09365902841091156,0.8090306520462036,1.0,1.0
35,1,0.0,0.0,300,300,1.0,1.0,0.8068389297525088,0,0,0,0,1.290024995803833,0.09365902841091156,0.8090306520462036,1.0,1.0
36,1,0.0,0.0,300,300,1.0,1.0,0.8071905116240183,0,0,0,0,1.290024995803833,0.09365902841091156,0.8090306520462036,1.0,1.0
37,1,0.0,0.0,300,300,1.0,1.0,0.8072502932945887,0,0,0,0,1.290024995803833,0.09365902841091156,0.8090306520462036,1.0,1.0
38,1,0.0,0.0,300,300,1.0,1.0,0.8072245379288991,0,0,0,0,1.290024995803833,0.09365902841091156,0.8090306520462036,1.0,1.0
39,1,0.0,0.0,300,300,1.0,1.0,0.8073656350374222,0,0,0,0,1.290024995803833,0.09365902841091156,0.8090306520462036,1.0,1.0
