layer,prefill_calls,prefill_igpu_ratio,prefill_policy_igpu_ratio,decode_events,decode_calls,decode_igpu_ratio,decode_policy_igpu_ratio,decode_cpu_load,exploration_calls,load_drop_reprobe_calls,periodic_reprobe_calls,switch_delta,final_cpu_ms_per_row,final_igpu_ms_per_row,final_cpu_load,final_igpu_ratio,final_policy_igpu_ratio
0,1,0.0,0.0,300,300,1.0,1.0,0.8310941393176715,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
1,1,0.0,0.0,300,300,1.0,1.0,0.8311528091629347,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
2,1,0.0,0.0,300,300,1.0,1.0,0.8314278018474579,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
3,1,0.0,0.0,300,300,1.0,1.0,0.8314878289898237,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
4,1,0.0,0.0,300,300,1.0,1.0,0.8314479665954908,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
5,1,0.0,0.0,300,300,1.0,1.0,0.8315236772100131,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
6,1,0.0,0.0,300,300,1.0,1.0,0.8318042762080828,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
7,1,0.0,0.0,300,300,1.0,1.0,0.8320630981524786,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
8,1,0.0,0.0,300,300,1.0,1.0,0.8322878730297089,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
9,1,0.0,0.0,300,300,1.0,1.0,0.8320827998717626,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
10,1,0.0,0.0,300,300,1.0,1.0,0.8318336286147435,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
11,1,0.0,0.0,300,300,1.0,1.0,0.8319107773900032,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
12,1,0.0,0.0,300,300,1.0,1.0,0.8318348877628644,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
13,1,0.0,0.0,300,300,1.0,1.0,0.8318152798215548,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
14,1,0.0,0.0,300,300,1.0,1.0,0.8322182579835256,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
15,1,0.0,0.0,300,300,1.0,1.0,0.8321067353089651,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
16,1,0.0,0.0,300,300,1.0,1.0,0.8321295162041982,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
17,1,0.0,0.0,300,300,1.0,1.0,0.8320502682526907,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
18,1,0.0,0.0,300,300,1.0,1.0,0.8322492575645447,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
19,1,0.0,0.0,300,300,1.0,1.0,0.8323463962475459,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
20,1,0.0,0.0,300,300,1.0,1.0,0.8323707610368729,0,0,0,0,2.4378600120544434,0.0841459408402443,0.8261217474937439,1.0,1.0
21,1,0.0,0.0,300,300,1.0,1.0,0.8323372828960419,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
22,1,0.0,0.0,300,300,1.0,1.0,0.8322109907865525,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
23,1,0.0,0.0,300,300,1.0,1.0,0.8320751764376958,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
24,1,0.0,0.0,300,300,1.0,1.0,0.8321193609635035,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
25,1,0.0,0.0,300,300,1.0,1.0,0.8321534305810928,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
26,1,0.0,0.0,300,300,1.0,1.0,0.832170656422774,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
27,1,0.0,0.0,300,300,1.0,1.0,0.8321024608612061,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
28,1,0.0,0.0,300,300,1.0,1.0,0.8321817125876745,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
29,1,0.0,0.0,300,300,1.0,1.0,0.8320461285114288,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
30,1,0.0,0.0,300,300,1.0,1.0,0.8320566380023956,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
31,1,0.0,0.0,300,300,1.0,1.0,0.8321018248796463,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
32,1,0.0,0.0,300,300,1.0,1.0,0.8320800870656967,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
33,1,0.0,0.0,300,300,1.0,1.0,0.8320923600594202,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
34,1,0.0,0.0,300,300,1.0,1.0,0.8320592977603276,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
35,1,0.0,0.0,300,300,1.0,1.0,0.8320032115777334,0,0,0,0,2.4378600120544434,0.08381561189889908,0.8261217474937439,1.0,1.0
