layer,prefill_calls,prefill_igpu_ratio,prefill_policy_igpu_ratio,decode_events,decode_calls,decode_igpu_ratio,decode_policy_igpu_ratio,decode_cpu_load,exploration_calls,load_drop_reprobe_calls,periodic_reprobe_calls,switch_delta,final_cpu_ms_per_row,final_igpu_ms_per_row,final_cpu_load,final_igpu_ratio,final_policy_igpu_ratio
0,0,,0.0,300,300,0.0,0.0,0.0003151680746789983,0,0,0,0,0.036329686641693115,0.0933380126953125,0.003492549527436495,0.0,0.0
1,1,0.0,0.0,299,300,0.0,0.0,0.00031643066672283263,0,0,0,0,0.036329686641693115,0.0933380126953125,0.003492549527436495,0.0,0.0
2,1,0.0,0.0,299,300,0.0,0.0,0.0003143331732523317,0,0,0,0,0.036329686641693115,0.0933380126953125,0.003492549527436495,0.0,0.0
3,1,0.0,0.0,299,300,0.0,0.0,0.0003143388440973164,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
4,1,0.0,0.0,299,300,0.0,0.0,0.0003145336084465574,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
5,1,0.0,0.0,299,300,0.0,0.0,0.00031299720918468663,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
6,1,0.0,0.0,299,300,0.0,0.0,0.0003129014075360222,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
7,1,0.0,0.0,299,300,0.0,0.0,0.00031296751412204077,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
8,1,0.0,0.0,299,300,0.0,0.0,0.0003299802806941443,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
9,1,0.0,0.0,299,300,0.0,0.0,0.00032916134978828874,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
10,1,0.0,0.0,299,300,0.0,0.0,0.000328948206200342,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
11,1,0.0,0.0,297,300,0.0,0.0,0.0003253268663805405,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
12,1,0.0,0.0,296,300,0.0,0.0,0.00032527258203723854,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
