metric,unit,n,mean,sample_stdev,ci95_low,ci95_high
prefill_tps,token/s,5,146.95863840663625,3.2497297125670506,144.3234084521501,149.39877693803777
decode_tps,token/s,5,23.556280212064358,0.5838225134363647,23.092608192206082,24.019952231922638
ttft_ms,ms,5,7120.445190998726,158.1027409232034,7003.046114410972,7251.047340594232
tpot_ms,ms/token,5,42.47241220601215,1.0535775889835626,41.63597284876259,43.30885156326171
e2e_ms,ms,5,32561.49016339332,622.8782822157077,32074.866695597302,33034.82300379546
first_target_delay_calls,calls,5,14.0,1.224744871391589,13.0,14.8
first_target_delay_ms,ms,5,725.8464206000001,57.85227816972703,673.7271194,766.5291684
settle_target_delay_calls,calls,5,46.0,1.224744871391589,45.0,46.8
settle_target_delay_ms,ms,5,1825.9975198,59.1564333807098,1774.3066262,1862.4827475999998
pre_transition_calls_per_s,calls/s,5,15.402889146355275,0.7479454405416219,14.813580008270241,15.99219828444031
post_transition_calls_per_s,calls/s,5,29.028730916208247,0.27647638512138506,28.821032332414468,29.23786387548745
post_vs_pre_rate,x,5,1.887666570200866,0.07918202564425536,1.8271729473277243,1.95034302470415
client_pre_transition_tps,token/s,5,15.391575334514204,0.784636500600479,14.771062222442879,16.012088446585526
client_post_transition_tps,token/s,5,28.591388750305224,0.2582727578365173,28.39478555740907,28.792160799458543
client_post_vs_pre_tps,x,5,1.8608670691648175,0.08053790760940804,1.798190240748888,1.9235438975807468
