strategy,metric,unit,blocks,samples,mean,block_stdev,ci95_low,ci95_high
igpu-fixed,prefill_tps,token/s,2,10,77.28808008019155,8.444124526694377,70.17550985445395,84.06145554788206
igpu-fixed,decode_tps,token/s,2,10,13.312131481870184,0.25733025303071694,12.925689073550448,13.752604267302953
igpu-fixed,ttft_ms,ms,2,10,13629.293405098724,1497.8334269778268,12454.068028592155,14925.551034408272
igpu-fixed,tpot_ms,ms/token,2,10,75.2501515317166,1.424274618801449,72.90273238125299,77.38686834923276
igpu-fixed,e2e_ms,ms,2,10,58704.30691759975,2351.106432059794,56299.71077000373,61099.590713798534
dynamic-v5,prefill_tps,token/s,1,5,145.41156222107858,0.0,140.19853145418915,150.62459298796801
dynamic-v5,decode_tps,token/s,1,5,15.395746830122249,0.0,14.866565137302192,15.807636634507677
dynamic-v5,ttft_ms,ms,1,5,7205.66707860562,0.0,6947.398195002461,7463.9359622087795
dynamic-v5,tpot_ms,ms/token,1,5,65.04246797895593,0.0,63.272062059772125,67.38761145105929
dynamic-v5,e2e_ms,ms,1,5,46166.17275479366,0.0,45118.347404984524,47707.90859439876
