strategy,metric,unit,blocks,samples,mean,block_stdev,ci95_low,ci95_high
igpu-fixed,prefill_tps,token/s,2,10,77.28808008019155,8.444124526694377,70.17550985445395,84.06145554788206
igpu-fixed,decode_tps,token/s,2,10,13.312131481870184,0.25733025303071694,12.925689073550448,13.752604267302953
igpu-fixed,ttft_ms,ms,2,10,13629.293405098724,1497.8334269778268,12454.068028592155,14925.551034408272
igpu-fixed,tpot_ms,ms/token,2,10,75.2501515317166,1.424274618801449,72.90273238125299,77.38686834923276
igpu-fixed,e2e_ms,ms,2,10,58704.30691759975,2351.106432059794,56299.71077000373,61099.590713798534
dynamic-v5-telemetry,prefill_tps,token/s,1,5,145.41156222107858,0.0,140.19853145418915,150.62459298796801
dynamic-v5-telemetry,decode_tps,token/s,1,5,15.395746830122249,0.0,14.850225868546513,15.794961420482167
dynamic-v5-telemetry,ttft_ms,ms,1,5,7205.66707860562,0.0,6947.398195002461,7463.9359622087795
dynamic-v5-telemetry,tpot_ms,ms/token,1,5,65.04246797895593,0.0,63.272062059772125,67.45614093452971
dynamic-v5-telemetry,e2e_ms,ms,1,5,46166.17275479366,0.0,45118.347404984524,47707.90859439876
phase-fixed,prefill_tps,token/s,1,5,143.7870503051368,0.0,141.83675746412123,145.73734314615234
phase-fixed,decode_tps,token/s,1,5,16.34717632321705,0.0,15.395786235007222,17.298566411426872
phase-fixed,ttft_ms,ms,1,5,7276.407111797016,0.0,7177.634602790931,7375.179620803101
phase-fixed,tpot_ms,ms/token,1,5,61.434943615686294,0.0,57.87077758696205,64.99910964441054
phase-fixed,e2e_ms,ms,1,5,44076.00187800126,0.0,42008.50470699952,46143.499049003
