strategy,metric,unit,blocks,samples,mean,block_stdev,ci95_low,ci95_high
dynamic-v5,prefill_tps,token/s,1,5,169.54655701487022,0.0,169.431433310799,169.66168071894143
dynamic-v5,decode_tps,token/s,1,5,29.686227089328423,0.0,29.66540636074418,29.712444572241502
dynamic-v5,ttft_ms,ms,1,5,6169.40055959858,0.0,6165.211365802679,6173.589753394481
dynamic-v5,tpot_ms,ms/token,1,5,33.68568511586287,0.0,33.6538977829762,33.70979762437305
dynamic-v5,e2e_ms,ms,1,5,26347.190585004864,0.0,26332.305751001695,26360.458218399435
phase-fixed,prefill_tps,token/s,1,5,168.28830994083657,0.0,166.80576575035087,169.2334615699418
phase-fixed,decode_tps,token/s,1,5,19.434749142972528,0.0,18.822281063978007,20.047217221967053
phase-fixed,ttft_ms,ms,1,5,6215.985254605766,0.0,6181.376233010087,6271.379379805876
phase-fixed,tpot_ms,ms/token,1,5,51.52005844774582,0.0,49.90199696393497,53.13811993155666
phase-fixed,e2e_ms,ms,1,5,37076.59688900458,0.0,36138.16976460512,38015.024013404036
packed-cpu-fixed,prefill_tps,token/s,1,5,169.8195176888592,0.0,169.26947053971202,170.23345926160948
packed-cpu-fixed,decode_tps,token/s,1,5,29.858198365183398,0.0,29.809136085315618,29.923465255266564
packed-cpu-fixed,ttft_ms,ms,1,5,6159.547261398984,0.0,6144.517247198382,6179.57475000876
packed-cpu-fixed,tpot_ms,ms/token,1,5,33.491808981298455,0.0,33.41879113054507,33.5467708427288
packed-cpu-fixed,e2e_ms,ms,1,5,26221.208036190365,0.0,26194.138140790164,26246.078929194482
