strategy,block,sample,artifact,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction,completion_tokens
dynamic-v5,1,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-none-steady-no-telemetry-e-n5-20260719,169.40115191082484,29.66857495838808,6174.692368978867,33.705697068448984,26364.470619999338,0.4303160373774976,0.00023603687490898178,600
dynamic-v5,1,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-none-steady-no-telemetry-e-n5-20260719,169.650938862873,29.65576095494617,6165.601009997772,33.72026101502595,26364.10551899462,0.4304703670648108,0.00023653322777364495,600
dynamic-v5,1,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-none-steady-no-telemetry-e-n5-20260719,169.564146570628,29.689000586073917,6168.756905011833,33.68250800833846,26344.645340024726,0.43047767492254174,0.0002951257628036725,600
dynamic-v5,1,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-none-steady-no-telemetry-e-n5-20260719,169.72118964916655,29.679874469441195,6163.04895200301,33.692864874803085,26345.13881400926,0.4306054557551564,0.00026289422222441124,600
dynamic-v5,1,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-none-steady-no-telemetry-e-n5-20260719,169.39535808085867,29.737924477792745,6174.903562001418,33.62709461269785,26317.592631996376,0.42935144493274735,0.00013800625009018256,600
phase-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-none-steady-f-n5-20260719,165.45733028679956,20.04854989375007,6321.8716160045005,49.87891918865113,36199.425905011594,0.14736330835414935,0.0012627804038282903,600
phase-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-none-steady-f-n5-20260719,168.91556375052562,19.3246931127624,6192.442997999024,51.74726419534086,37189.27073900704,0.14447898364643874,0.001321261760862599,600
phase-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-none-steady-f-n5-20260719,168.74127414083,20.407146604786355,6198.839053016854,49.00244112351586,35551.36313699768,0.14869961998672077,0.0010650766622730793,600
phase-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-none-steady-f-n5-20260719,169.51254479765353,18.74759368023607,6170.634753012564,53.34017885475146,38121.46335700527,0.14273659784299764,0.001259393702897804,600
phase-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-none-steady-f-n5-20260719,168.8148367283742,18.645762423327753,6196.137852995889,53.63148887646975,38321.4613070013,0.14295080247561098,0.001144109251029494,600
