strategy,sample,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,client_pre_transition_tps,client_post_transition_tps,background_ready_ms,completion_tokens,token_timestamps_exact
packed-cpu-fixed,1,168.19090997361533,7.806531454227602,6219.123257993488,128.09786341902884,82949.85934798024,29.315955366483138,6.280699985112044,43.075201,600,True
packed-cpu-fixed,2,169.57433152034665,8.469791625597985,6168.386397999711,118.06665904007973,76891.64241100661,29.184688804511396,6.858029826283304,51.844483,600,True
packed-cpu-fixed,3,169.69734503520127,9.150284868217508,6163.914937991649,109.2862150634663,71626.51970601291,29.08031108008178,7.457899907420336,50.950227,600,True
packed-cpu-fixed,4,170.05475573596033,8.454341652602157,6150.959997990867,118.2824211619376,77002.18688099994,29.306066274842017,6.8423477915118225,46.500876,600,True
packed-cpu-fixed,5,169.63924317776306,10.086771012842675,6166.026093997061,99.13975431054998,65550.86026599747,29.192710203460717,8.290239466807192,844.096142,600,True
igpu-fixed,1,79.78160735353796,14.821588080598707,13110.791254992364,67.46915341069213,53524.90733299055,16.964986847873455,14.226308244784219,89.439967,600,True
igpu-fixed,2,83.87874607892708,13.133385118844876,12470.381936989725,76.14183174794111,58079.401508992305,17.473460227948504,12.135352338030533,85.476085,600,True
igpu-fixed,3,82.81150085672951,14.168835621500063,12631.095791992266,70.57742969948644,54919.67656699126,16.210867706676886,13.601428602344445,91.097024,600,True
igpu-fixed,4,78.64924969459638,13.821605669817824,13299.554719997104,72.3504941385859,56637.55782099906,14.27534154197031,13.677657836143283,67.581757,600,True
igpu-fixed,5,91.65717655046465,13.761148450255924,11412.090567988344,72.66835348915973,54940.4974829813,16.634432140307776,13.016681928540137,54.460465,600,True
dynamic-v5,1,161.86354052544792,16.64964143821962,6462.233536993153,60.06135349584633,42439.081233984325,29.02513960786803,14.58989164113124,84.22686,600,True
dynamic-v5,2,170.40778708767226,16.381550524246173,6138.217142986832,61.044282622692506,42703.860036999686,28.3795785174479,14.369984898442045,623.295303,600,True
dynamic-v5,3,170.11770705334172,17.52263569317744,6148.683862003963,57.069040155263686,40333.100438001566,29.101929928917265,15.482847105775432,69.704053,600,True
dynamic-v5,4,169.86157988759484,17.500108803059554,6157.955205009785,57.14250186976949,40386.422154988395,28.795167809375265,15.488464330646432,47.411105,600,True
dynamic-v5,5,170.17774485782107,18.07257146053989,6146.51463899645,55.33246899498642,39290.762276010355,29.47425347444636,16.020568388798715,51.603108,600,True
