strategy,metric,unit,n,mean,sample_stdev,ci95_low,ci95_high
packed-cpu-fixed,prefill_tps,token/s,5,169.43131708857732,0.7179385092997879,168.77024325527444,169.87556838119812
packed-cpu-fixed,decode_tps,token/s,5,8.793544122697586,0.8651253885602009,8.1983075678515,9.524879326067573
packed-cpu-fixed,ttft_ms,ms,5,6173.682137194555,26.283307919599377,6157.458497193875,6197.884392394917
packed-cpu-fixed,tpot_ms,ms/token,5,114.5745825990125,10.897505956655117,106.71051620236187,122.3292928721265
packed-cpu-fixed,e2e_ms,ms,5,74804.21372239944,6543.36069318315,69196.25593000674,79495.65692619071
packed-cpu-fixed,client_pre_transition_tps,token/s,5,29.215946345875807,0.09751574659152559,29.144541994529412,29.287724235760567
packed-cpu-fixed,client_post_transition_tps,token/s,5,7.145843395426939,0.7632890978289825,6.620825075906207,7.790835731175077
packed-cpu-fixed,background_ready_ms,ms,5,207.29338579999998,356.00110197020194,45.815740999999996,525.9479058
igpu-fixed,prefill_tps,token/s,5,83.35565610685111,5.1090374714623765,79.92162050325084,87.51292757233229
igpu-fixed,decode_tps,token/s,5,13.941312588203479,0.6176947732999105,13.471025711195642,14.42993660513952
igpu-fixed,ttft_ms,ms,5,12584.78285439196,737.9063819423569,11995.631750189932,13095.96747039468
igpu-fixed,tpot_ms,ms/token,5,71.84145249717307,3.1682370207416097,69.33411918396872,74.3342556864939
igpu-fixed,e2e_ms,ms,5,55620.408142590895,1762.503101658319,54365.93305658898,57159.08778299345
igpu-fixed,client_pre_transition_tps,token/s,5,16.311817692955387,1.2285712656316208,15.218977781305295,17.11924704767917
igpu-fixed,client_post_transition_tps,token/s,5,13.331485789968522,0.7942367624272918,12.664150092336296,13.88187215283989
igpu-fixed,background_ready_ms,ms,5,77.6110596,15.970205474526646,64.4120352,89.3100134
dynamic-v5,prefill_tps,token/s,5,168.48567188237558,3.706984055912811,165.16520713660543,170.25775418886568
dynamic-v5,decode_tps,token/s,5,17.225301583848534,0.6937386536180432,16.663385740827117,17.73810462209884
dynamic-v5,ttft_ms,ms,5,6210.720877198037,140.77522682582483,6143.629485194106,6336.813666997477
dynamic-v5,tpot_ms,ms/token,5,58.12992942771168,2.35319663326862,56.389104034053936,60.05264830383751
dynamic-v5,e2e_ms,ms,5,41030.645227996865,1475.8154160063184,39926.82951660245,42176.75235659699
dynamic-v5,client_pre_transition_tps,token/s,5,28.95521386761096,0.4039765223294895,28.607166658127245,29.26397163232632
dynamic-v5,client_post_transition_tps,token/s,5,15.190351272958774,0.6887013911530826,14.637662133420761,15.701305953907346
dynamic-v5,background_ready_ms,ms,5,175.24808579999998,250.8989285756857,53.5464958,401.14317539999996
