load_workers,candidate,metric,unit,candidate_mean,static_oracle_strategy,static_oracle_mean,static_oracle_attainment_pct
0,dynamic,prefill_tps,token/s,167.04049827872296,packed-cpu-fixed,166.01471774754057,100.61788529661709
0,dynamic,decode_tps,token/s,29.483116572724793,packed-cpu-fixed,29.629302716642496,99.50661632062103
0,dynamic,ttft_ms,ms,6267.048739800157,packed-cpu-fixed,6309.248894799748,100.67336567420628
0,dynamic,tpot_ms,ms/token,33.920682414023176,packed-cpu-fixed,33.75209108013338,99.50298366102417
0,dynamic,e2e_ms,ms,26585.61051199995,packed-cpu-fixed,26526.82422459984,99.77887930249496
4,dynamic,prefill_tps,token/s,169.07481115240262,packed-cpu-fixed,170.25833699668698,99.30486467496308
4,dynamic,decode_tps,token/s,24.155561337453832,packed-cpu-fixed,23.923805817027745,100.96872346397802
4,dynamic,ttft_ms,ms,6188.987566400101,packed-cpu-fixed,6145.956381199721,99.30471365891903
4,dynamic,tpot_ms,ms/token,41.398894168280535,packed-cpu-fixed,41.80126505141892,100.97193630704919
4,dynamic,e2e_ms,ms,30986.99759760002,packed-cpu-fixed,31184.982572999434,100.63892919853178
8,dynamic,prefill_tps,token/s,164.8328255575002,packed-cpu-fixed,167.41933420106972,98.45507171802323
8,dynamic,decode_tps,token/s,22.408265652973064,packed-cpu-fixed,24.04498735019251,93.1930856382574
8,dynamic,ttft_ms,ms,6348.58843819984,packed-cpu-fixed,6250.200744399626,98.45024299877105
8,dynamic,tpot_ms,ms/token,44.82822539165301,packed-cpu-fixed,41.58880147078404,92.77369582987744
8,dynamic,e2e_ms,ms,33200.76463639998,packed-cpu-fixed,31161.96077200002,93.85916593570047
12,dynamic,prefill_tps,token/s,129.13455601293353,packed-cpu-fixed,125.01027880068793,103.29915047931475
12,dynamic,decode_tps,token/s,21.059196882298814,igpu-fixed,18.673355890729244,112.77671247488014
12,dynamic,ttft_ms,ms,8103.9490358001785,packed-cpu-fixed,8383.077747999778,103.44435423972331
12,dynamic,tpot_ms,ms/token,47.486118949916076,igpu-fixed,53.55265204974965,112.77538201475676
12,dynamic,e2e_ms,ms,36548.20023300017,igpu-fixed,42210.3882996,115.4923854813713
16,dynamic,prefill_tps,token/s,98.01727773377299,igpu-fixed,101.68062606420173,96.39720124449698
16,dynamic,decode_tps,token/s,19.662427282256992,igpu-fixed,18.894988658006405,104.06159875584471
16,dynamic,ttft_ms,ms,10688.020462199893,igpu-fixed,10293.655000599938,96.31021045482932
16,dynamic,tpot_ms,ms/token,53.201193295158475,igpu-fixed,52.924456360267165,99.47982945917025
16,dynamic,e2e_ms,ms,42555.6029542,igpu-fixed,41995.48684500001,98.68380173157736
20,dynamic,prefill_tps,token/s,79.54864115365658,igpu-fixed,96.6254683935728,82.32678451776373
20,dynamic,decode_tps,token/s,13.446601881098621,igpu-fixed,13.539037262679852,99.31726769202396
20,dynamic,ttft_ms,ms,13223.02586079968,igpu-fixed,10835.3701258,81.94319696463724
20,dynamic,tpot_ms,ms/token,76.39041633789682,igpu-fixed,73.8747734637729,96.70686063157909
20,dynamic,e2e_ms,ms,58981.13595759969,igpu-fixed,55087.09805719998,93.39782485166266
